"Week","Weekly_Sales","Facebook_Ads_Spend","Google_Ads_Spend","Discount_Percentage","Influencer_Collaboration"
1,76044.9,4159,4735,0.059,0
2,98442.26,4248,4828,0.108,1
3,56580.05,1645,3803,0.073,0
4,91188.91,3822,3773,0.092,1
5,61039.07,3067,2865,0.114,0
6,34696.07,2576,410,0.109,0
7,68389.3,3446,3201,0.098,0
8,75017.84,1039,4249,0.108,1
9,68356.05,3128,3857,0.069,0
10,49614.48,3320,2483,0.068,0
11,49732.02,2331,2865,0.021,0
12,62056.81,3376,2872,0.075,0
13,46036.39,4239,406,0.068,0
14,44518.05,1522,2036,0.03,0
15,68145.87,2349,3216,0.11,0
16,67168.48,4260,4213,0.026,0
17,47473.7,4413,2041,0.026,0
18,46687.53,970,2289,0.109,0
19,66131.61,2400,3038,0.044,1
20,75762.16,2741,3113,0.1,1
21,65346.46,4116,3710,0.072,0
22,52803.72,1055,2217,0.062,0
23,92025.93,4456,4628,0.013,1
24,73496.91,4287,4828,0.035,0
25,38670.7,830,1474,0.113,0
26,66706.5,2557,3733,0.145,0
27,65547.61,2061,4557,0.069,0
28,59283.03,4123,3176,0.1,0
29,58461.52,2288,3305,0.198,0
30,93532.97,3844,4712,0.04,1
31,70648.96,3450,4312,0.092,0
32,66126.04,3744,3067,0.205,0
33,75049.11,2052,4178,0.07,1
34,61812.45,3241,923,0.096,1
35,56511.48,516,3917,0.094,0
36,67173.52,3832,3269,0.049,0
37,29040.67,529,1083,0.071,0
38,47515.05,1331,769,0.098,1
39,60170.9,4126,2535,0.073,0
40,77473.07,2947,3985,0.069,1
41,55465.56,2018,3774,0.072,0
42,62296.32,2243,4159,0.157,0
43,45832.98,650,1183,0.041,1
44,76252.46,4394,4746,0.097,0
45,54362.45,2227,1751,0.024,1
46,52209.67,4330,1086,0.082,0
47,81398.14,4051,3709,0.07,1
48,56165.25,3060,1891,0.099,0
49,68943.37,4384,3983,0.053,0
50,53503.02,2975,2214,0.066,0
51,70360.03,1834,3522,0.088,1
52,58928.29,1887,3969,0.041,0
53,64007.53,2094,1264,0.112,1
54,41068.19,3639,534,0.076,0
55,40324.63,656,1024,0.147,0
56,64621.54,3495,3529,0.229,0
57,82838.18,3209,4700,0.044,1
58,51150.2,1185,2932,0.135,0
59,57252.09,1544,3168,0.106,0
60,44419.68,2558,1306,0.175,0
61,55923.42,3202,2862,0.085,0
62,54657.56,4431,1226,0.17,0
63,58563.14,3538,2479,0.019,0
64,64799.17,2766,1858,0.09,1
65,40378.14,3899,934,0.027,0
66,45995.3,1258,1256,0.152,1
67,55946.92,1585,3757,0.138,0
68,56115.07,3813,2295,0.1,0
69,72205.04,3273,2305,0.111,1
70,51299.99,1462,2609,0.064,0
71,43351.53,672,2366,0.128,0
72,43603.48,1062,1028,0.122,1
73,62368.17,1366,4194,0.081,0
74,55942.58,2418,3125,0.031,0
75,64425.14,1290,4054,0.157,0
76,59207.33,3377,3938,0.051,0
77,56697.03,532,4623,0.023,0
78,70317.2,2002,4368,0.115,0
79,51706.45,2558,1858,0.077,0
80,35482.54,506,1593,0.119,0
81,79554.11,2826,3814,0.032,1
82,62171.04,1132,3838,0.045,1
83,77233.41,1936,4622,0.194,1
84,72501.39,3083,4049,0.131,0
85,47766.67,3603,1013,0.147,0
86,52984.43,2755,1724,0.109,0
87,35297.34,1435,1296,0.013,0
88,61232.3,860,4007,0.125,1
89,32293.74,842,993,0.202,0
90,32313.17,1721,994,0.029,0
91,55809.59,3170,732,0.037,1
92,28880.01,501,644,0.057,0
93,59308.32,1334,2847,0.041,1
94,48090.01,4232,917,0.06,0
95,77848.06,4203,3819,0.087,0
96,58584.76,3436,3764,0.035,0
97,63072.7,1832,4472,0.108,0
98,57210.33,2560,2779,0.094,0
99,77983.52,3476,4319,0.139,0
100,55882.34,2977,2437,0.103,0
101,51115.85,3005,1126,0.091,0
102,51952.53,1369,2435,0.233,1
103,70465.18,1366,4852,0.085,0
104,47036.76,2056,2629,0.032,0
